Date,Title,Amount,Currency,Category,Notes,Tags,Payment Method
2026-05-03,Metro Card,36.96,USD,Transportation,,transit,wallet
2026-05-03,Parking Garage,15.84,USD,Transportation,,car,credit
2026-05-03,H&M,51.52,USD,Shopping,,clothes,credit
2026-05-04,Internet Bill,72.80,USD,Utilities,,bills,bank
2026-05-04,Phone Bill,91.80,USD,Utilities,,bills,bank
2026-05-05,Dry Cleaning,26.88,USD,Other,,chores,debit
2026-05-05,Electric Bill,92.00,USD,Utilities,,bills,bank
2026-05-06,Bookshop,15.84,USD,Education,,books,debit
2026-05-06,Coursera,45.08,USD,Education,,learning,credit
2026-05-07,Uber Eats — Sushi,33.48,USD,Food,,dinner;delivery,credit
2026-05-07,Apple App,5.59,USD,Entertainment,,apps,credit
2026-05-08,DoorDash — Tacos,25.48,USD,Food,,dinner;delivery,credit
2026-05-08,Netflix snack run,11.00,USD,Food,,night,cash
2026-05-09,Shell Gas,39.60,USD,Transportation,,car,credit
2026-05-09,CVS Pharmacy,14.90,USD,Health,,health,debit
2026-05-09,Pharmacy — Refill,21.12,USD,Health,,health,debit
2026-05-10,Whole Foods,81.64,USD,Groceries,,weekly,debit
2026-05-10,Amazon,29.59,USD,Shopping,,order,credit
2026-05-10,Target,47.04,USD,Shopping,,home,debit
2026-05-11,Sweetgreen,14.50,USD,Food,,lunch;work,credit
2026-05-11,Trader Joe's,64.00,USD,Groceries,,weekly,debit
2026-05-12,Blue Bottle Coffee,4.80,USD,Food,,coffee;morning,wallet
2026-05-12,Chipotle,12.14,USD,Food,,lunch,credit
2026-05-13,Starbucks,6.55,USD,Food,,coffee,wallet
2026-05-13,Lyft,15.12,USD,Transportation,,commute,credit
2026-05-14,Refund — Amazon,29.99,USD,Shopping,refund,order;refund,credit
2026-05-14,Uber,13.00,USD,Transportation,,commute,credit
2026-05-15,IKEA,61.64,USD,Shopping,,home,debit
2026-05-15,Home Depot,36.48,USD,Shopping,,home,debit
2026-05-16,Bakery,10.53,USD,Food,,weekend,cash
2026-05-16,Wine Bar,47.04,USD,Food,,dinner;date,credit
2026-05-16,Birthday Gift,35.20,USD,Shopping,,gift,credit
2026-05-17,Hotel — City Weekend,181.44,USD,Travel,,weekend;trip,credit
2026-05-17,Flight seat upgrade,49.00,USD,Travel,,trip,credit
2026-05-17,Farmers Market,29.64,USD,Groceries,,fresh,cash
2026-05-18,Airbnb cleaning fee,41.40,USD,Travel,,trip,credit
2026-05-18,Airport Lounge snack,14.08,USD,Travel,,trip,credit
2026-05-19,Concert Ticket,81.00,USD,Entertainment,,weekend;fun,credit
2026-05-19,Spotify merch,31.36,USD,Shopping,,fun,credit
2026-05-20,Vet Visit Copay,65.00,USD,Health,,pets;health,credit
2026-05-20,Yoga Class,22.88,USD,Health,,fitness,wallet
2026-05-21,Nike,81.88,USD,Shopping,,clothes,credit
2026-05-21,Petco,34.56,USD,Other,,pets,debit
2026-05-22,Parking Garage,20.16,USD,Transportation,,car,credit
2026-05-22,H&M,49.28,USD,Shopping,,clothes,credit
2026-05-23,Internet Bill,70.00,USD,Utilities,,bills,bank
2026-05-23,Phone Bill,88.40,USD,Utilities,,bills,bank
2026-05-23,Metro Card,35.64,USD,Transportation,,transit,wallet
2026-05-24,Coursera,43.12,USD,Education,,learning,credit
2026-05-24,Dry Cleaning,25.76,USD,Other,,chores,debit
2026-05-24,Electric Bill,88.32,USD,Utilities,,bills,bank
2026-05-25,Apple App,5.39,USD,Entertainment,,apps,credit
2026-05-25,Bookshop,20.16,USD,Education,,books,debit
2026-05-26,DoorDash — Tacos,24.50,USD,Food,,dinner;delivery,credit
2026-05-26,Uber Eats — Sushi,32.24,USD,Food,,dinner;delivery,credit
2026-05-27,Pharmacy — Refill,20.24,USD,Health,,health,debit
2026-05-27,Netflix snack run,10.56,USD,Food,,night,cash
2026-05-28,Shell Gas,50.40,USD,Transportation,,car,credit
2026-05-28,CVS Pharmacy,14.26,USD,Health,,health,debit
2026-05-29,Target,45.36,USD,Shopping,,home,debit
2026-05-29,Amazon,28.50,USD,Shopping,,order,credit
2026-05-30,Sweetgreen,13.89,USD,Food,,lunch;work,credit
